,time,open,high,low,close,tick_volume,spread,real_volume
34,2020-02-19,1601.51,1612.95,1599.53,1611.6,124855,2,0
35,2020-02-20,1612.22,1623.75,1603.92,1619.25,187055,2,0
36,2020-02-21,1619.81,1649.27,1618.98,1643.32,201597,2,0
37,2020-02-24,1653.32,1689.35,1650.9,1658.63,274238,0,0
38,2020-02-25,1659.09,1663.9,1625.17,1635.19,305295,2,0
39,2020-02-26,1635.24,1655.02,1624.89,1640.6,262048,2,0
40,2020-02-27,1640.97,1660.37,1635.27,1643.92,283656,2,0
41,2020-02-28,1643.34,1649.5,1562.89,1585.67,300886,2,0
42,2020-03-02,1591.59,1611.04,1575.41,1589.58,308209,2,0
43,2020-03-03,1585.29,1649.28,1584.83,1640.88,240598,2,0
44,2020-03-04,1639.88,1652.6,1631.89,1636.49,206415,2,0
45,2020-03-05,1637.52,1674.62,1634.97,1672.48,218596,2,0
46,2020-03-06,1672.49,1692.16,1642.41,1674.25,294403,2,0
47,2020-03-09,1691.8,1703.29,1657.35,1678.95,227496,2,0
48,2020-03-10,1679.71,1680.35,1641.77,1649.18,257696,2,0
49,2020-03-11,1649.26,1671.25,1633.02,1635.91,205642,2,0
50,2020-03-12,1634.1,1650.37,1560.76,1578.14,234848,2,0
51,2020-03-13,1578.53,1597.96,1504.52,1528.79,229314,2,0
52,2020-03-16,1563.8,1575.33,1451.22,1510.21,270219,2,0
53,2020-03-17,1512.0,1554.02,1465.49,1528.56,243265,2,0
54,2020-03-18,1527.41,1546.3,1472.88,1485.28,218659,2,0
55,2020-03-19,1484.88,1500.74,1464.08,1472.22,198784,2,0
56,2020-03-20,1469.61,1515.97,1454.94,1496.77,186413,2,0
57,2020-03-23,1502.5,1561.19,1482.35,1552.59,212517,2,0
58,2020-03-24,1554.26,1632.64,1552.45,1626.73,96151,2,0
59,2020-03-25,1628.64,1639.34,1592.62,1616.7,72809,2,0
60,2020-03-26,1613.39,1644.02,1595.29,1628.98,69348,0,0
61,2020-03-27,1631.14,1635.27,1613.78,1621.61,76915,2,0
62,2020-03-30,1628.16,1632.98,1610.4,1620.27,72794,2,0
63,2020-03-31,1621.99,1623.41,1574.32,1576.22,93985,2,0
64,2020-04-01,1575.06,1600.39,1567.84,1591.02,95203,2,0
65,2020-04-02,1589.06,1619.82,1582.84,1611.64,111152,2,0
66,2020-04-03,1613.23,1625.3,1605.87,1615.72,89698,2,0
67,2020-04-06,1615.04,1668.62,1608.77,1657.68,95796,2,0
68,2020-04-07,1660.98,1674.02,1642.29,1648.12,98656,0,0
69,2020-04-08,1645.17,1656.48,1640.45,1645.81,79178,2,0
70,2020-04-09,1644.45,1690.27,1642.83,1683.04,114840,0,0
71,2020-04-13,1685.54,1722.59,1671.74,1713.29,97237,2,0
72,2020-04-14,1712.81,1747.81,1708.69,1726.96,141670,2,0
73,2020-04-15,1727.82,1731.2,1707.52,1716.59,121129,2,0
74,2020-04-16,1717.2,1738.76,1707.65,1718.77,136753,2,0
75,2020-04-17,1719.4,1719.4,1679.49,1681.46,142681,2,0
76,2020-04-20,1678.93,1702.47,1671.49,1694.77,134557,2,0
77,2020-04-21,1694.54,1697.82,1659.45,1683.43,131103,2,0
78,2020-04-22,1686.23,1718.63,1680.28,1714.65,147206,2,0
79,2020-04-23,1713.09,1738.68,1706.93,1730.39,150369,2,0
80,2020-04-24,1730.61,1736.29,1710.35,1726.58,130635,2,0
81,2020-04-27,1726.08,1727.27,1706.07,1715.13,140784,2,0
82,2020-04-28,1713.34,1716.53,1691.74,1708.52,162292,2,0
83,2020-04-29,1706.5,1717.3,1697.85,1712.81,138066,2,0
84,2020-04-30,1711.95,1721.76,1681.41,1687.0,147171,2,0
85,2020-05-01,1685.18,1705.47,1670.32,1699.2,201101,2,0
86,2020-05-04,1697.67,1713.49,1691.6,1701.44,105463,2,0
87,2020-05-05,1701.43,1711.67,1689.92,1705.55,104362,2,0
88,2020-05-06,1705.49,1708.14,1682.05,1685.52,105061,2,0
89,2020-05-07,1682.01,1722.01,1681.47,1716.19,115335,2,0
90,2020-05-08,1715.12,1723.35,1701.0,1701.5,121500,2,0
91,2020-05-11,1701.09,1712.15,1691.99,1697.49,117361,2,0
92,2020-05-12,1696.14,1711.01,1693.75,1701.95,121442,2,0
93,2020-05-13,1701.98,1718.02,1699.09,1715.87,149586,2,0
94,2020-05-14,1716.02,1736.47,1710.87,1730.12,129666,2,0
95,2020-05-15,1729.35,1751.63,1728.51,1742.73,145733,2,0
96,2020-05-18,1744.29,1765.31,1727.38,1732.25,149754,2,0
97,2020-05-19,1730.69,1747.86,1725.74,1744.61,146206,2,0
98,2020-05-20,1744.64,1753.87,1742.42,1747.78,138564,2,0
99,2020-05-21,1746.99,1748.81,1717.12,1727.03,139807,2,0
100,2020-05-22,1725.7,1740.17,1724.36,1735.41,109665,2,0
101,2020-05-25,1731.74,1734.85,1721.39,1727.65,55366,2,0
102,2020-05-26,1727.16,1735.5,1708.7,1709.68,115993,2,0
103,2020-05-27,1709.03,1716.02,1693.7,1709.22,116474,2,0
104,2020-05-28,1710.46,1727.52,1704.36,1718.86,120590,2,0
105,2020-05-29,1716.81,1737.72,1712.67,1729.81,113717,2,0
106,2020-06-01,1735.05,1744.6,1727.15,1739.79,116651,2,0
107,2020-06-02,1738.93,1745.17,1721.33,1727.44,113364,2,0
108,2020-06-03,1726.05,1731.8,1689.42,1698.46,143793,2,0
109,2020-06-04,1698.54,1721.86,1696.71,1713.35,129546,2,0
110,2020-06-05,1712.71,1716.24,1670.72,1684.27,150067,2,0
111,2020-06-08,1682.73,1700.68,1677.37,1698.2,130457,2,0
112,2020-06-09,1696.99,1720.85,1692.26,1714.27,146636,2,0
113,2020-06-10,1712.72,1739.76,1707.89,1738.19,136191,2,0
114,2020-06-11,1736.97,1744.67,1721.57,1726.96,154843,2,0
115,2020-06-12,1727.19,1743.04,1722.23,1729.83,138935,2,0
116,2020-06-15,1726.8,1734.49,1704.22,1724.7,154235,0,0
117,2020-06-16,1724.63,1732.81,1716.77,1727.44,148100,2,0
118,2020-06-17,1726.37,1730.32,1712.65,1726.54,114070,2,0
119,2020-06-18,1725.6,1737.5,1717.54,1722.12,121501,2,0
120,2020-06-19,1720.97,1745.19,1720.97,1743.08,114722,2,0
121,2020-06-22,1753.02,1763.07,1742.78,1754.7,141855,2,0
122,2020-06-23,1753.74,1770.99,1747.37,1766.97,133495,2,0
123,2020-06-24,1767.21,1779.22,1760.62,1761.4,149757,2,0
124,2020-06-25,1760.31,1768.86,1753.34,1764.05,127602,2,0
125,2020-06-26,1763.3,1771.84,1747.43,1770.38,123640,2,0
126,2020-06-29,1775.42,1775.42,1765.57,1772.94,111632,2,0
127,2020-06-30,1771.13,1786.12,1764.67,1780.44,100989,2,0
128,2020-07-01,1780.2,1789.08,1759.07,1770.12,125717,2,0
129,2020-07-02,1769.86,1779.5,1757.44,1775.32,102912,2,0
130,2020-07-03,1774.25,1777.11,1772.58,1773.64,40750,2,0
131,2020-07-06,1773.42,1786.99,1770.0,1784.2,92301,2,0
132,2020-07-07,1783.23,1797.37,1773.52,1794.74,102932,2,0
133,2020-07-08,1794.78,1817.97,1791.48,1808.61,103118,2,0
134,2020-07-09,1808.05,1815.95,1795.48,1802.86,113514,2,0
135,2020-07-10,1801.07,1810.56,1794.07,1798.51,97246,2,0
136,2020-07-13,1795.97,1813.31,1795.97,1802.49,111207,2,0
137,2020-07-14,1802.08,1810.86,1790.6,1809.31,121908,2,0
138,2020-07-15,1807.95,1815.06,1802.46,1810.25,97085,2,0
139,2020-07-16,1810.01,1813.26,1794.92,1796.49,92404,2,0
140,2020-07-17,1796.85,1811.99,1795.82,1809.38,78152,2,0
141,2020-07-20,1808.99,1820.57,1805.71,1817.24,100165,2,0
142,2020-07-21,1817.64,1843.48,1815.84,1841.49,121245,2,0
143,2020-07-22,1839.61,1872.0,1839.61,1871.91,183463,2,0
144,2020-07-23,1870.91,1898.38,1863.71,1887.01,194046,2,0
145,2020-07-24,1886.44,1906.54,1881.37,1901.48,146128,2,0
146,2020-07-27,1901.38,1945.64,1899.57,1941.54,208209,2,0
147,2020-07-28,1941.3,1981.14,1906.62,1960.85,221070,2,0
148,2020-07-29,1955.45,1980.91,1941.45,1970.38,150203,2,0
149,2020-07-30,1969.58,1971.58,1939.52,1957.0,165911,2,0
150,2020-07-31,1954.75,1983.07,1954.75,1975.24,174498,2,0
151,2020-08-03,1978.48,1987.68,1960.49,1976.76,136443,2,0
152,2020-08-04,1976.35,2019.95,1967.41,2018.53,141510,2,0
153,2020-08-05,2018.77,2055.58,2009.51,2038.14,189414,2,0
154,2020-08-06,2038.47,2069.67,2034.52,2063.14,170363,2,0
155,2020-08-07,2063.46,2075.24,2015.49,2034.72,208750,2,0
156,2020-08-10,2033.77,2049.91,2018.99,2027.82,157659,2,0
157,2020-08-11,2026.82,2030.01,1901.32,1911.83,240979,2,0
158,2020-08-12,1911.48,1949.3,1862.6,1916.36,234729,2,0
159,2020-08-13,1915.19,1966.3,1912.81,1953.24,194558,2,0
160,2020-08-14,1952.66,1962.19,1932.17,1943.98,166392,2,0
161,2020-08-17,1946.27,1990.69,1929.39,1984.25,160212,2,0
162,2020-08-18,1984.54,2015.7,1976.01,2001.8,179025,2,0
163,2020-08-19,2002.01,2006.45,1924.69,1928.4,206432,2,0
